Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-06 18:19:29.792265000,787703,Pizza Palace (Reisterstown),11890109609,442A2F4E,NULL,Fee,Self-delivery,Ad fee for order_id: 442A2F4E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.97,0.00,0.00,0.00,-5.97,2024-12-10,445870974,0.00,0.00,-5.97,0.00,0.00,0.00
2024-12-06 18:34:29.398270000,787703,Pizza Palace (Reisterstown),11890316494,442A2F4E,NULL,Order,Self-delivery,NULL,36.47,1.86,0.00,0.00,5.50,-3.72,0.00,-6.46,0.00,0.00,0.00,33.65,2024-12-10,445870974,0.00,0.00,-6.46,0.00,0.00,0.00
2024-12-06 19:38:35.854262000,787703,Pizza Palace (Reisterstown),11891283026,DCC00F8E,NULL,Order,Self-delivery,NULL,19.74,1.01,0.00,0.00,3.50,-2.01,0.00,-3.95,0.00,0.00,0.00,18.29,2024-12-10,445870974,0.00,0.00,-3.95,0.00,0.00,0.00
2024-12-06 20:30:24.148661000,787703,Pizza Palace (Reisterstown),11892104637,58D486C2,NULL,Order,Self-delivery,NULL,33.48,1.71,0.00,0.00,0.00,-1.71,0.00,-6.01,0.00,0.00,0.00,27.47,2024-12-10,445870974,0.00,0.00,-6.01,0.00,0.00,0.00
2024-12-06 20:30:29.651000000,787703,Pizza Palace (Reisterstown),11892106190,A120C6C9,NULL,Order,Self-delivery,NULL,43.98,2.28,0.00,0.00,5.00,-4.56,0.00,-6.99,0.00,0.00,0.00,39.71,2024-12-10,445870974,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-06 20:53:23.397723000,787703,Pizza Palace (Reisterstown),11892454434,F2E0C054,NULL,Order,Self-delivery,NULL,35.78,1.83,2.99,0.00,3.50,-4.56,0.00,-6.36,0.00,0.00,0.00,33.18,2024-12-10,445870974,0.00,0.00,-6.36,0.00,0.00,0.00
2024-12-06 21:51:37.467747000,787703,Pizza Palace (Reisterstown),11893258454,A5DA718D,NULL,Order,Self-delivery,NULL,20.19,1.04,0.00,0.00,4.00,-2.06,0.00,-3.99,0.00,0.00,0.00,19.18,2024-12-10,445870974,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-06 22:29:24.392942000,787703,Pizza Palace (Reisterstown),11893691612,97F6BC28,NULL,Order,Self-delivery,NULL,35.92,1.84,2.99,0.00,6.00,-4.58,0.00,-6.38,0.00,0.00,0.00,35.79,2024-12-10,445870974,0.00,0.00,-6.38,0.00,0.00,0.00
2024-12-06 22:44:50.175443000,787703,Pizza Palace (Reisterstown),11893856631,5CD62200,NULL,Order,Self-delivery,NULL,21.74,1.13,0.00,0.00,2.50,-2.25,0.00,-3.99,0.00,0.00,0.00,19.13,2024-12-10,445870974,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-07 14:27:29.151443000,787703,Pizza Palace (Reisterstown),11898120694,B67ACA6E,NULL,Fee,Self-delivery,Ad fee for order_id: B67ACA6E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-3.00,2024-12-11,445923761,0.00,0.00,-3.00,0.00,0.00,0.00
